timestamp,english,hebrew,result
"2026-03-16T18:53:43.430Z","cow","פרה","correct"
"2026-03-16T18:53:50.027Z","fall","ליפול","correct"
"2026-03-16T18:54:15.014Z","farewell","פרידה","correct"
"2026-03-16T18:54:17.892Z","chicken","תרנגולת","correct"
"2026-03-16T18:54:43.190Z","door","דלת","correct"
"2026-03-16T18:54:47.448Z","basis","יסוד","correct"
"2026-03-16T18:55:33.479Z","frog","ו","incorrect"
"2026-03-16T18:55:58.044Z","think","לחשוב","correct"
"2026-03-16T18:56:01.504Z","giraffe","גיראפה","correct"
"2026-03-16T18:56:34.258Z","queen","מלכה","correct"
"2026-03-16T18:56:43.815Z","analysis","ניתוח","correct"
"2026-03-16T18:57:42.322Z","ambition","שאיפה","correct"
"2026-03-16T18:57:44.949Z","sea","ים","correct"
"2026-03-16T18:58:15.094Z","would","היה","correct"
"2026-03-16T18:58:20.212Z","am","ו","incorrect"
"2026-03-16T18:58:32.998Z","shadows","צללים","correct"
"2026-03-16T18:59:10.390Z","magic","קסם","correct"
"2026-03-16T18:59:37.888Z","earth","כדור הארץ","correct"
"2026-03-16T19:00:37.472Z","pillow","כרית","correct"
"2026-03-16T19:01:53.022Z","above","מעל","correct"
"2026-03-16T19:02:31.116Z","ticket","כרטיס","correct"
"2026-03-16T19:02:37.755Z","single","רוח רפאים","incorrect"
"2026-03-16T19:02:42.208Z","run","לרוץ","correct"
"2026-03-16T19:04:12.455Z","link","כתובת","incorrect"
"2026-03-16T19:04:19.470Z","room","חדר","correct"
"2026-03-16T19:04:27.066Z","would","לאחור","incorrect"
"2026-03-16T19:04:37.929Z","breathing","גס רוח / לא מנומס","incorrect"
"2026-03-16T19:04:43.265Z","ceremony","טקס","correct"
"2026-03-16T19:05:30.776Z","around","סביב","correct"
"2026-03-16T19:05:33.961Z","day","יום","correct"
"2026-03-16T19:06:14.420Z","rare","נדיר","correct"
"2026-03-16T19:06:18.073Z","admire","נדהם","incorrect"
"2026-03-16T19:06:21.195Z","direction","כיוון","correct"
"2026-03-16T19:06:47.951Z","strong","הגעה","incorrect"
"2026-03-16T19:06:51.413Z","bottle","בקבוק","correct"
"2026-03-16T19:07:26.224Z","twelve","שתים עשרה","correct"
"2026-03-16T19:07:48.877Z","sweet","מתוק","correct"
"2026-03-16T19:07:51.257Z","drink","משקה/לשתות","correct"
"2026-03-16T19:08:13.746Z","leave","לעזוב","correct"
"2026-03-16T19:08:45.049Z","arrival","הגעה","correct"
"2026-03-16T19:09:14.727Z","game","משחק","correct"
"2026-03-16T19:09:18.835Z","bell","פעמון","correct"
"2026-03-16T19:09:49.266Z","zebra","זברה","correct"
"2026-03-16T19:09:53.114Z","my","שלי","correct"
"2026-03-17T12:55:54.755Z","bird","ציפור","correct"
"2026-03-17T12:56:00.106Z","you'll","אתה ת","correct"
"2026-03-17T12:56:20.253Z","approximately","בערך","correct"
"2026-03-17T12:56:24.469Z","got","טקס","incorrect"
"2026-03-17T12:56:32.533Z","pet","חיית מחמד","correct"
"2026-03-17T12:57:09.858Z","tire","סדק","incorrect"
"2026-03-17T12:57:14.768Z","advise","לייעץ","correct"
"2026-03-17T12:57:18.355Z","I","אני","correct"
"2026-03-17T12:58:18.903Z","advise","לייעץ","correct"
"2026-03-17T12:58:22.123Z","and","מי?","incorrect"
"2026-03-17T12:58:28.037Z","hair","שיער","correct"
"2026-03-17T12:59:12.723Z","thousand","אלף","correct"
"2026-03-17T12:59:17.098Z","company","להתגעגע","incorrect"
"2026-03-17T12:59:38.922Z","lived","לוח","incorrect"
"2026-03-17T12:59:42.216Z","bus","אוטובוס","correct"
"2026-03-17T13:00:02.366Z","dream","חלום","correct"
"2026-03-17T13:00:07.105Z","million","מיליון","correct"
"2026-03-17T13:00:27.646Z","ball","כדור","correct"
"2026-03-17T13:00:31.932Z","bed","מיטה","correct"
"2026-03-17T13:01:02.106Z","my","שלי","correct"
"2026-03-17T13:01:05.652Z","real","אמיתי","correct"
"2026-03-17T13:02:00.410Z","nose","אף","correct"
"2026-03-17T13:02:10.653Z","leave","לעזוב","correct"
"2026-03-17T13:03:03.766Z","be","הרחק","incorrect"
"2026-03-17T13:03:13.107Z","get","חוט","incorrect"
"2026-03-17T13:03:19.211Z","the","ה־","correct"
"2026-03-17T13:03:35.879Z","hear","לחיות","incorrect"
"2026-03-17T13:03:39.025Z","pool","בריכה","correct"
"2026-03-17T13:04:23.169Z","kid","ילד/ה","correct"
"2026-03-17T13:04:29.510Z","sharing","לשתף","correct"
"2026-03-17T13:04:50.437Z","scissors","מספריים","correct"
"2026-03-17T13:05:11.582Z","queen","מלכה","correct"
"2026-03-17T13:05:51.859Z","under","מתחת","correct"
"2026-03-17T13:06:02.471Z","drag","לגרור","correct"
"2026-03-17T13:06:32.824Z","around","סביב","correct"
"2026-03-17T13:06:36.133Z","summer","קיץ","correct"
"2026-03-17T13:07:25.373Z","duck","ברווז","correct"
"2026-03-17T13:07:35.854Z","too","גם","correct"
"2026-03-17T13:08:01.777Z","prettiest","הכי יפה","correct"
"2026-03-17T13:08:09.052Z","teardrop","דמעה","correct"
"2026-03-17T13:08:54.245Z","key","לכופף","incorrect"
"2026-03-17T13:08:59.216Z","fall","ליפול","correct"
"2026-03-17T13:09:02.915Z","tell","לספר","correct"
"2026-03-17T13:09:39.624Z","under","מתחת","correct"
"2026-03-17T20:57:02.728Z","meant","להאיר","incorrect"
"2026-03-17T20:57:14.319Z","autumn","סתיו","correct"
"2026-03-17T20:57:20.673Z","tell","לנתח","incorrect"
"2026-03-17T20:57:27.619Z","quilt","נשימה","incorrect"
"2026-03-17T20:57:33.390Z","true","מפוחד","incorrect"
